farmer_id,crop_type,season,state,land_area_hectare,annual_rainfall_mm,fertilizer_used_kg,pesticide_used_liters,total_production_tonnes,yield_tonnes_per_hectare
F0210,Wheat,Kharif,Madhya Pradesh,4.06,1440.86,379.4,31.94,20.03,4.93
F0020,Maize,Kharif,Maharashtra,1.05,1339.41,320.5,36.86,4.73,4.51
F0484,Cotton,Zaid,Uttar Pradesh,0.7,1463.89,424.6,14.56,3.5,4.99
F0187,Rice,Zaid,Punjab,3.39,929.71,244.38,18.11,10.26,3.03
F0353,Cotton,Kharif,Karnataka,6.31,467.39,181.47,21.49,15.63,2.48
F0463,Wheat,Kharif,Madhya Pradesh,2.4,917.08,316.59,7.09,7.83,3.26
F0464,Rice,Kharif,Madhya Pradesh,6.27,504.63,79.27,47.7,8.3,1.32
F0443,Maize,Rabi,Uttar Pradesh,7.0,828.18,104.92,27.28,17.65,2.52
F0450,Rice,Zaid,Karnataka,0.83,1391.18,166.45,34.81,3.8,4.58
F0496,Cotton,Kharif,Karnataka,5.69,521.83,486.31,39.88,8.64,1.52
F0260,Sugarcane,Rabi,Maharashtra,9.43,1373.79,319.05,46.48,43.9,4.66
F0128,Rice,Kharif,Madhya Pradesh,4.19,625.62,422.93,21.05,10.69,2.55
F0372,Sugarcane,Rabi,Maharashtra,3.17,951.24,113.42,41.1,8.56,2.7
F0067,Wheat,Zaid,Maharashtra,0.55,1278.55,368.09,37.81,2.66,4.84
F0059,Wheat,Rabi,Uttar Pradesh,7.83,388.85,211.31,10.21,13.66,1.74
F0192,Wheat,Rabi,Maharashtra,3.64,376.27,189.94,19.63,7.2,1.98
F0142,Cotton,Kharif,Karnataka,7.43,1065.07,449.25,26.25,31.56,4.25
F0120,Cotton,Rabi,Karnataka,7.73,973.53,396.94,27.22,26.01,3.36
F0439,Maize,Kharif,Maharashtra,5.47,813.05,61.44,9.86,14.2,2.6
F0133,Cotton,Rabi,Uttar Pradesh,3.49,910.28,458.4,16.22,12.15,3.48
F0258,Cotton,Zaid,Madhya Pradesh,4.4,1206.66,152.96,8.46,15.46,3.51
F0016,Maize,Zaid,Madhya Pradesh,9.33,1269.74,335.03,44.22,39.04,4.18
F0499,Cotton,Rabi,Madhya Pradesh,8.13,523.88,451.65,29.27,17.03,2.09
F0031,Wheat,Kharif,Maharashtra,2.67,812.53,418.11,43.73,8.19,3.07
F0455,Rice,Kharif,Karnataka,0.57,912.9,237.83,14.99,1.73,3.03
F0237,Cotton,Zaid,Uttar Pradesh,9.46,687.84,283.46,36.64,20.74,2.19
F0171,Sugarcane,Kharif,Maharashtra,3.95,1466.14,483.1,16.33,17.34,4.39
F0400,Wheat,Zaid,Uttar Pradesh,3.21,344.26,324.3,27.62,5.27,1.64
F0173,Wheat,Rabi,Karnataka,0.99,634.38,458.72,15.78,2.76,2.79
F0252,Cotton,Zaid,Punjab,9.86,590.47,352.46,39.27,18.27,1.85
F0367,Sugarcane,Rabi,Madhya Pradesh,2.76,1173.86,215.5,33.45,11.63,4.21
F0281,Sugarcane,Kharif,Karnataka,1.36,1302.36,194.35,13.39,7.31,5.38
F0221,Wheat,Kharif,Maharashtra,0.89,1009.07,354.9,5.75,2.63,2.96
F0235,Maize,Rabi,Punjab,6.63,509.24,360.92,22.4,14.99,2.26
F0265,Wheat,Kharif,Uttar Pradesh,9.4,465.03,203.48,10.11,20.67,2.2
F0240,Cotton,Kharif,Karnataka,8.26,966.24,288.34,15.88,23.49,2.84
F0476,Sugarcane,Rabi,Karnataka,1.38,1376.66,455.19,33.49,6.06,4.39
F0113,Maize,Zaid,Uttar Pradesh,7.4,1376.53,449.19,40.09,32.02,4.33
F0095,Rice,Rabi,Uttar Pradesh,6.6,400.97,122.73,45.43,10.23,1.55
F0432,Maize,Rabi,Punjab,0.55,492.97,296.93,36.14,0.92,1.68
F0136,Sugarcane,Rabi,Uttar Pradesh,6.69,569.12,370.48,15.68,20.15,3.01
F0265,Cotton,Zaid,Maharashtra,6.67,1319.07,345.93,30.57,28.07,4.21
F0430,Cotton,Kharif,Karnataka,1.39,741.26,169.34,15.98,3.49,2.51
F0302,Maize,Rabi,Karnataka,8.97,1057.37,407.67,27.62,37.05,4.13
F0329,Wheat,Zaid,Punjab,5.98,891.02,137.86,37.51,14.21,2.38
F0043,Cotton,Rabi,Karnataka,9.43,1444.71,461.69,21.66,51.65,5.48
F0031,Wheat,Rabi,Maharashtra,0.65,1413.98,242.68,48.5,2.77,4.26
F0274,Wheat,Zaid,Uttar Pradesh,8.59,680.31,126.27,30.06,12.94,1.51
F0494,Rice,Rabi,Madhya Pradesh,9.39,1135.24,306.53,9.37,37.92,4.04
F0043,Wheat,Zaid,Karnataka,8.84,1188.92,363.66,36.61,32.58,3.69
F0195,Sugarcane,Kharif,Maharashtra,3.92,652.31,414.21,41.46,11.77,3.0
F0268,Sugarcane,Rabi,Maharashtra,8.08,1079.96,365.89,40.81,47.33,5.86
F0082,Sugarcane,Rabi,Madhya Pradesh,8.96,705.59,219.01,9.23,20.63,2.3
F0327,Maize,Kharif,Maharashtra,4.92,951.17,178.94,31.59,15.85,3.22
F0208,Wheat,Rabi,Punjab,0.79,344.82,420.17,21.21,1.49,1.89
