loan_id,loan_amount,borrower_income,land_area,crop_yield,past_delay_count,total_loans_taken,season,income_to_loan_ratio,past_delay_rate,due_date,repayment_date,delay_flag
1,141958,196867,9.53,3.93,4,5,Zaid,1.3867975034869469,0.8,12-04-2024,11-04-2024,0
2,107498,424871,3.67,1.57,2,6,Zaid,3.9523619044075238,0.3333333333333333,04-11-2024,03-11-2024,0
3,214027,377069,2.52,1.73,4,1,Zaid,1.7617823919412037,4,09-11-2024,05-12-2024,1
4,278795,442752,5.49,2.6,3,4,Kharif,1.5880916085295647,0.75,27-09-2024,25-09-2024,0
5,87435,369030,9.84,2.87,4,3,Zaid,4.220621032767198,1.3333333333333333,14-05-2024,10-05-2024,0
6,276840,399457,9.51,4.86,1,2,Rabi,1.4429164860569281,0.5,21-09-2024,20-09-2024,0
7,88148,302801,7,2.76,3,5,Zaid,3.435143168307846,0.6,20-09-2024,18-09-2024,0
8,100077,348064,2.96,3.65,1,6,Zaid,3.4779619692836516,0.16666666666666666,23-02-2024,22-02-2024,0
9,191829,321836,9.71,4.1,1,2,Rabi,1.6777233890600483,0.5,26-09-2024,23-09-2024,0
10,283160,105591,8.52,3.99,4,2,Kharif,0.3729022460799548,2,04-08-2024,22-09-2024,1
11,256584,88044,8.12,1.3,0,1,Kharif,0.34313908895332523,0,15-05-2024,13-05-2024,0
12,184231,63986,8.01,3.42,1,7,Rabi,0.3473139699616243,0.14285714285714285,10-02-2024,07-02-2024,0
13,290536,80535,4.77,1.38,4,3,Rabi,0.2771945645290085,1.3333333333333333,20-06-2024,03-08-2024,1
14,293109,74538,5.83,2.53,2,1,Kharif,0.25430130088124214,2,05-01-2024,04-02-2024,1
15,118806,450126,2.93,1.16,1,2,Kharif,3.788748043,0.5,27-06-2024,27-06-2024,0
16,127059,235340,5.33,4.63,4,7,Kharif,1.8522103904485319,0.5714285714285714,19-06-2024,15-06-2024,0
17,184899,499036,1.23,2.16,3,2,Kharif,2.698965381099952,1.5,18-06-2024,14-06-2024,0
18,129556,52693,4.84,1.87,3,6,Kharif,0.40671987403130694,0.5,26-11-2024,25-11-2024,0
19,95766,458923,3.88,4.63,0,1,Zaid,4.792128730447131,0,09-10-2024,09-10-2024,0
20,112787,177948,8.68,1.03,2,1,Zaid,1.577735023,2,13-11-2024,24-12-2024,1
21,248576,63545,3.71,4.77,0,4,Rabi,0.25563610324407826,0,22-04-2024,22-04-2024,0
22,59353,243075,2.85,3.79,2,1,Zaid,4.095412194834297,2,10-04-2024,10-04-2024,0
23,276951,143264,3.03,4.91,3,6,Rabi,0.5172900621409563,0.5,08-12-2024,04-12-2024,0
24,289536,367824,2.78,1.58,3,2,Rabi,1.270391247,1.5,08-06-2024,05-06-2024,0
25,203734,148506,4.01,1.97,4,4,Rabi,0.728921044,1,07-04-2024,05-04-2024,0
26,130078,392767,8.08,1.6,2,6,Kharif,3.019472932,0.3333333333333333,14-12-2024,12-12-2024,0
27,153883,368394,2.59,3.84,2,4,Rabi,2.3939876399602293,0.5,17-12-2024,14-12-2024,0
28,104896,121295,5.42,4.35,2,4,Kharif,1.1563357992678462,0.5,30-05-2024,29-05-2024,0
29,50306,197718,6.77,4.27,0,4,Rabi,3.9303065240726753,0,29-02-2024,29-02-2024,0
30,153121,212688,1.38,4.59,4,3,Kharif,1.3890191417245186,1.3333333333333333,09-01-2024,09-01-2024,0
31,193714,65151,8.54,4.43,0,4,Zaid,0.3363257172945683,0,15-03-2024,15-03-2024,0
32,52711,317683,9.04,3.43,2,6,Zaid,6.026882434,0.3333333333333333,08-04-2024,08-04-2024,0
33,263548,228047,3.4,2.94,2,5,Rabi,0.8652958853795134,0.4,17-06-2024,14-06-2024,0
34,110272,88467,2.75,2.3,3,7,Rabi,0.8022616802089378,0.42857142857142855,13-07-2024,13-07-2024,0
35,276687,251163,5.33,3.55,4,3,Kharif,0.9077513580327229,1.3333333333333333,20-09-2024,18-09-2024,0
36,69377,491620,5.28,3.31,0,5,Kharif,7.086210127,0,12-11-2024,10-11-2024,0
37,122946,421760,0.91,4.98,4,6,Zaid,3.4304491402729655,0.6666666666666666,06-01-2024,04-01-2024,0
38,183707,375352,9.55,2.32,4,7,Rabi,2.043210111754043,0.5714285714285714,08-04-2024,05-04-2024,0
39,144019,115726,3.4,1.76,0,3,Rabi,0.8035467542477034,0,07-05-2024,06-05-2024,0
40,185656,213817,9.39,3.78,1,7,Zaid,1.151683759210583,0.14285714285714285,07-12-2024,06-12-2024,0
41,76958,132074,3.31,2.29,0,1,Kharif,1.716182852984745,0,25-10-2024,21-10-2024,0
42,25801,200262,4.49,2.02,4,4,Kharif,7.761792178597728,1,08-11-2024,05-11-2024,0
43,278067,314512,1.17,2.59,3,3,Kharif,1.1310655345654106,1,22-05-2024,19-05-2024,0
44,52097,192038,6.88,2.31,1,7,Kharif,3.6861623509990977,0.14285714285714285,08-07-2024,04-07-2024,0
45,75609,277897,0.79,1.15,2,4,Rabi,3.6754486899707706,0.5,10-04-2024,10-04-2024,0
46,271451,53051,9.67,2.83,4,4,Zaid,0.19543490353691825,1,15-12-2024,04-02-2025,1
47,231810,482950,1.81,1.53,1,4,Kharif,2.083387256805142,0.25,15-04-2024,13-04-2024,0
48,106672,123847,3.07,2.76,1,5,Rabi,1.161007574621269,0.2,26-04-2024,26-04-2024,0
49,120235,124740,1.05,4.66,1,6,Rabi,1.0374682912629434,0.16666666666666666,27-04-2024,27-04-2024,0
50,196615,237628,3.16,4.82,4,6,Rabi,1.2085954784731583,0.6666666666666666,14-12-2024,12-12-2024,0
51,236139,117215,2.01,1.48,4,6,Rabi,0.49638136860069704,0.6666666666666666,07-08-2024,16-08-2024,1
52,195150,390976,3.46,4.92,4,4,Rabi,2.0034640020497054,1,05-08-2024,04-08-2024,0
53,186319,171172,5,1.69,4,7,Rabi,0.9187039432371363,0.5714285714285714,06-09-2024,05-09-2024,0
54,230677,410260,8.92,2.04,1,2,Zaid,1.7785041421554815,0.5,26-05-2024,25-05-2024,0
55,291967,241232,5.62,3.74,1,1,Rabi,0.8262303616504605,1,08-06-2024,06-06-2024,0
56,217459,199143,6.93,3.29,0,1,Kharif,0.9157726284035151,0,27-06-2024,25-06-2024,0
57,271492,415835,4.17,4.84,1,3,Kharif,1.531665758107053,0.3333333333333333,13-02-2024,09-02-2024,0
58,128940,350638,4.08,1.16,1,3,Kharif,2.7193888630370715,0.3333333333333333,02-08-2024,02-08-2024,0
59,45351,138668,8.53,1.09,1,3,Rabi,3.0576613525611345,0.3333333333333333,14-04-2024,11-04-2024,0
60,102745,401732,3.81,4.75,3,1,Rabi,3.9099907538079712,3,03-10-2024,29-09-2024,0
61,243992,356569,4.52,3.27,2,1,Zaid,1.4613962752877143,2,08-04-2024,05-04-2024,0
62,90640,246582,6.02,4.47,4,4,Rabi,2.7204545454545452,1,01-07-2024,27-06-2024,0
63,194358,162856,2.76,2.51,0,6,Rabi,0.8379176571069882,0,24-03-2024,24-03-2024,0
64,139180,116234,1.45,1.21,4,1,Kharif,0.8351343583848254,4,16-03-2024,29-03-2024,1
65,79163,101934,9.53,3.29,4,5,Kharif,1.2876470068087364,0.8,08-04-2024,05-04-2024,0
66,240184,192202,2.52,4.78,0,7,Kharif,0.8002281584118842,0,18-04-2024,14-04-2024,0
67,172617,71689,1.05,3.2,4,3,Rabi,0.4153067195003968,1.3333333333333333,02-08-2024,04-09-2024,1
68,109930,56801,9.7,3.75,1,4,Rabi,0.5167015373419449,0.25,09-09-2024,05-09-2024,0
69,201415,89081,4.27,4.57,1,5,Kharif,0.4422758980214979,0.2,29-01-2024,25-01-2024,0
