crop_type,state,year,month,avg_price_per_tonne,min_price_per_tonne,max_price_per_tonne
Wheat,Maharashtra,2023,9,20346.39,18783.77,22581.76
Maize,Karnataka,2023,2,20607.94,17838.27,21959.81
Wheat,Uttar Pradesh,2020,5,25761.13,21949.99,29547.78
Cotton,Uttar Pradesh,2020,1,62170.45,58020.22,66599.09
Wheat,Karnataka,2020,1,23976.24,21109.26,26433.22
Wheat,Uttar Pradesh,2021,9,20079.7,17935.08,21668.46
Sugarcane,Maharashtra,2022,1,3497.75,3075.27,3800.78
Rice,Uttar Pradesh,2020,4,22915.58,20523.35,25860.64
Sugarcane,Uttar Pradesh,2024,10,3336.58,3033.76,3518.91
Wheat,Punjab,2024,9,18628.78,16966.24,19877.88
Wheat,Uttar Pradesh,2024,12,22219.3,20406.72,24308.25
Cotton,Madhya Pradesh,2022,4,63742.03,54958.62,70085.49
Sugarcane,Karnataka,2020,1,4039.45,3559.45,4451.5
Cotton,Madhya Pradesh,2020,9,50102.68,45326.44,53533.98
Rice,Uttar Pradesh,2020,2,23339.8,20045.37,24964.21
Cotton,Madhya Pradesh,2023,4,65015.45,55557.18,70381.37
Cotton,Karnataka,2020,1,57149.06,53312.86,62045.32
Sugarcane,Punjab,2021,3,3801.03,3337.66,4197.36
Wheat,Madhya Pradesh,2023,2,26174.17,22443.17,30065.97
Rice,Madhya Pradesh,2021,1,22294.92,20672.4,23852.7
Wheat,Punjab,2024,12,23574.1,21856.19,24927.36
Wheat,Madhya Pradesh,2023,3,27160.41,24059.96,28833.14
Maize,Uttar Pradesh,2022,5,19954.14,17621.3,21078.67
Wheat,Maharashtra,2021,1,24173.1,21298.88,26167.82
Sugarcane,Maharashtra,2023,11,3467.19,3254.73,3804.28
Rice,Madhya Pradesh,2023,3,25116.24,21649.18,28163.45
Wheat,Maharashtra,2022,5,23497.54,21784.49,25832.72
Sugarcane,Madhya Pradesh,2021,6,4049.16,3653.45,4424.74
Wheat,Punjab,2021,9,20291.75,17885.87,22338.32
Rice,Karnataka,2022,7,19840.99,18665.54,21327.66
Maize,Punjab,2022,4,21280.13,18575.0,22507.95
Wheat,Punjab,2024,8,19926.54,17514.93,21244.13
Rice,Maharashtra,2022,4,22647.45,21070.44,24202.36
