state,year,month,rainfall_mm,avg_temperature_celsius,humidity_percent,drought_flag
Karnataka,2024,2,62.44,38.92,77.58,0
Uttar Pradesh,2024,7,439.46,21.43,40.14,0
Punjab,2024,1,18.13,37.06,69.07,0
Uttar Pradesh,2024,7,483.23,18.45,93.04,0
Uttar Pradesh,2020,6,532.98,22.67,41.82,0
Madhya Pradesh,2021,11,35.68,24.69,64.11,0
Uttar Pradesh,2021,6,372.78,24.41,69.77,0
Maharashtra,2020,6,255.8,24.43,53.81,0
Punjab,2023,9,382.43,35.27,42.98,0
Uttar Pradesh,2020,1,81.99,31.03,33.02,0
Punjab,2023,11,95.06,21.75,34.23,0
Madhya Pradesh,2021,11,142.84,39.24,82.55,0
Maharashtra,2023,5,52.65,20.15,74.48,0
Uttar Pradesh,2022,6,376.06,20.68,62.19,0
Uttar Pradesh,2020,6,213.76,38.01,46.82,0
Madhya Pradesh,2020,1,102.75,24.86,63.8,0
Maharashtra,2021,4,86.54,22.07,93.02,0
Uttar Pradesh,2020,6,510.05,38.67,88.16,0
Karnataka,2022,1,93.71,38.28,35.75,0
Karnataka,2024,6,278.39,19.0,51.15,0
Punjab,2021,5,64.41,23.97,83.87,0
Karnataka,2023,6,342.7,24.18,65.28,0
Maharashtra,2021,9,256.37,35.65,34.85,0
Madhya Pradesh,2021,9,594.75,34.99,42.92,0
Uttar Pradesh,2023,4,10.77,35.94,75.95,0
Maharashtra,2021,8,491.6,34.97,34.81,0
Madhya Pradesh,2023,2,60.19,20.55,86.1,0
Uttar Pradesh,2024,3,97.26,25.28,34.13,0
Maharashtra,2023,8,324.39,25.15,77.42,0
Uttar Pradesh,2023,7,455.02,37.52,60.69,0
Madhya Pradesh,2023,9,247.84,33.69,79.45,0
Punjab,2021,5,88.58,34.96,62.1,0
Maharashtra,2020,10,83.18,27.41,31.65,0
Punjab,2022,8,243.16,18.69,71.37,0
Maharashtra,2021,7,325.74,29.19,88.99,0
Madhya Pradesh,2022,12,44.9,27.03,79.11,0
Maharashtra,2022,5,42.03,19.69,48.83,0
Punjab,2022,6,264.49,38.45,82.53,0
Punjab,2022,1,98.68,37.17,82.24,0
Madhya Pradesh,2023,1,36.12,37.64,65.06,0
Punjab,2021,5,123.04,37.71,50.67,0
Madhya Pradesh,2023,5,25.41,23.01,57.76,0
Karnataka,2021,11,124.52,36.94,30.45,0
Punjab,2024,11,81.5,27.18,44.44,0
Uttar Pradesh,2023,4,26.78,25.43,91.29,0
Punjab,2023,10,55.25,29.41,75.7,0
Karnataka,2020,1,60.91,39.38,92.56,0
Uttar Pradesh,2021,5,45.25,28.94,49.56,0
Uttar Pradesh,2021,2,49.88,18.81,69.62,0
Punjab,2022,9,401.07,19.13,48.11,0
Madhya Pradesh,2021,5,137.16,23.27,39.42,0
Madhya Pradesh,2021,11,78.52,39.68,45.73,0
Madhya Pradesh,2024,6,468.85,34.76,45.45,0
Maharashtra,2023,5,111.95,26.09,71.1,0
Maharashtra,2023,4,98.69,29.79,35.87,0
Madhya Pradesh,2022,5,126.94,25.06,42.12,0
Punjab,2024,8,216.31,31.0,74.04,0
Maharashtra,2021,4,12.32,29.27,44.72,0
Karnataka,2022,12,100.32,21.84,74.91,0
Maharashtra,2022,2,64.14,38.61,38.94,0
Madhya Pradesh,2023,4,57.75,20.5,90.11,0
Punjab,2024,6,550.94,23.67,72.9,0
Karnataka,2020,12,124.41,30.21,64.43,0
Karnataka,2024,10,43.86,20.05,88.32,0
Madhya Pradesh,2020,9,560.17,31.93,52.04,0
Maharashtra,2021,11,58.89,33.97,88.31,0
Karnataka,2022,4,134.19,35.16,71.73,0
Punjab,2023,2,21.78,21.56,88.41,0
Karnataka,2021,5,94.9,18.2,36.6,0
Uttar Pradesh,2022,4,102.89,18.11,40.45,0
Punjab,2024,8,419.49,33.22,72.38,0
Karnataka,2023,3,41.4,33.67,45.42,0
Punjab,2021,3,55.56,34.42,72.23,0
Madhya Pradesh,2020,5,128.89,32.47,66.94,0
Uttar Pradesh,2022,8,237.47,26.09,47.24,0
Madhya Pradesh,2020,11,44.16,39.41,55.55,0
Karnataka,2020,5,134.89,31.89,81.66,0
Maharashtra,2020,11,80.37,30.69,62.01,0
Madhya Pradesh,2022,6,278.1,33.89,48.25,0
Maharashtra,2020,10,13.4,32.2,41.51,0
Uttar Pradesh,2024,7,576.18,38.99,89.47,0
Punjab,2023,8,348.06,18.34,90.34,0
Madhya Pradesh,2022,2,69.95,39.27,92.64,0
Madhya Pradesh,2021,6,541.2,24.48,55.03,0
Uttar Pradesh,2021,2,129.16,24.97,41.02,0
Maharashtra,2021,6,422.72,38.6,75.24,0
Uttar Pradesh,2020,6,428.02,20.14,69.98,0
Karnataka,2021,6,596.02,21.08,63.69,0
Uttar Pradesh,2021,9,550.95,34.3,75.31,0
Punjab,2020,2,108.35,25.91,49.08,0
Karnataka,2021,2,123.31,35.82,86.36,0
Punjab,2020,7,565.3,29.25,62.6,0
