transaction_id,buyer_id,buyer_base_delay_rate,crop_type,season,quantity,price,shipment_duration,sale_date,expected_payment_date,actual_payment_date,delay_flag
0,8,0.1,Rice,Rabi,566,1849.91,9,2025-05-11,2025-05-18,2025-05-26,1
1,9,0.1,Soybean,Kharif,559,3640.79,10,2025-06-19,2025-06-26,2025-06-25,0
2,1,0.1,Soybean,Rabi,940,1727.68,5,2025-01-09,2025-01-16,2025-01-15,0
3,8,0.1,Soybean,Summer,305,2868.71,3,2025-05-14,2025-05-21,2025-05-20,0
4,0,0.35,Rice,Summer,1095,3592.65,9,2025-02-09,2025-02-16,2025-02-23,1
5,6,0.65,Soybean,Monsoon,114,2078.43,10,2025-05-16,2025-05-23,2025-06-02,1
6,3,0.1,Wheat,Rabi,330,3778.77,8,2025-02-02,2025-02-09,2025-02-08,0
7,7,0.1,Cotton,Monsoon,1060,2840.24,4,2025-05-22,2025-05-29,2025-05-29,0
8,9,0.1,Maize,Rabi,330,2936.34,5,2025-03-27,2025-04-03,2025-04-02,0
9,0,0.35,Rice,Monsoon,289,1885.18,10,2025-01-03,2025-01-10,2025-01-19,1
10,3,0.1,Wheat,Kharif,783,2354.44,7,2025-06-29,2025-07-06,2025-07-06,0
11,6,0.65,Cotton,Kharif,1051,1629.1,2,2025-03-28,2025-04-04,2025-04-11,1
12,8,0.1,Maize,Monsoon,346,3852.47,9,2025-01-24,2025-01-31,2025-01-31,0
13,9,0.1,Soybean,Monsoon,563,1642.71,5,2025-03-31,2025-04-07,2025-04-07,0
14,5,0.35,Wheat,Summer,971,1981.32,10,2025-02-11,2025-02-18,2025-02-18,0
15,9,0.1,Soybean,Kharif,552,4651.46,8,2025-02-17,2025-02-24,2025-02-23,0
16,4,0.35,Cotton,Kharif,203,3622.5,4,2025-06-02,2025-06-09,2025-06-09,0
17,6,0.65,Soybean,Monsoon,900,3228.63,5,2025-05-25,2025-06-01,2025-05-31,0
18,9,0.1,Soybean,Monsoon,126,4281.84,2,2025-03-02,2025-03-09,2025-03-08,0
19,7,0.1,Soybean,Rabi,1169,4702.03,4,2025-04-03,2025-04-10,2025-04-10,0
