soil_texture,soil_type,pH,initial_moisture,moisture_after_24hr,drainage_rate,electrical_conductivity,nitrogen,phosphorus,potassium,organic_carbon,temperature,soil_quality_score
Sandy,Black Soil,8.231993941811405,63.74540118847362,29.23825812437446,34.50714306409916,0.5780093202212182,26.239780813448107,11.16167224336399,273.235229154987,0.679597545259111,31.011150117432088,65.25
Sandy,Black Soil,8.469909852161994,67.08072577796045,41.87488083500243,25.205844942958024,0.6061695553391381,27.272998688284027,13.668090197068675,160.84844859190753,0.7497327922401266,30.24756431632238,62.25
Loamy,Black Soil,8.111852894722379,64.31945018642116,50.57207534523291,13.747374841188254,0.6460723242676091,34.65447373174767,19.12139968434072,257.0351922786027,0.5418481581956126,26.996737821583597,65.85
Clayey,Black Soil,7.546450412719998,70.14234438413612,60.99544240210183,9.146901982034294,0.5852620618436457,22.60206371941118,28.977710745066666,293.12640661491184,0.6822634555704316,33.08397348116461,80.17
Clayey,Black Soil,8.184233026512157,68.0461376917337,62.36243289368902,5.683704798044687,0.5610191174223894,39.80707640445081,10.687770422304368,281.8640804157564,0.6320457481218804,27.58779981600017,67.7
Clayey,Black Soil,8.02006802117781,71.62522284353982,64.44324531091394,7.181977532625879,0.5924272277627636,58.783385110582344,25.50265646722229,287.8997883128378,0.6640130838029839,33.948273504276486,77.65
Sandy,Black Soil,7.58849250205192,65.97899978811085,31.760257437879687,34.21874235023117,0.522613644455269,33.013213230530575,17.77354579378964,154.26980635477918,0.5587948587257435,33.287375091519294,70.64
Sandy,Black Soil,8.042696083158248,63.5675332669359,35.758188170062084,27.809345096873813,0.9010984903770198,22.982025747190832,29.737738732010346,254.44895385933148,0.5422772674924288,26.987156815341724,65.91
Silty,Black Soil,8.206857343847616,62.05522117123603,41.346991172052185,20.708229999183843,0.8856351733429728,22.961786069363615,17.169314570885454,123.17381190502594,0.7187021504122962,33.63103425875593,60.92
Sandy,Black Soil,7.563558350286024,66.23298126827558,37.924001019749085,28.308980248526495,0.6625916610133735,49.18424713352256,22.751149427104263,277.44254851526534,0.5932946965146987,29.72214925161949,77.87
Sandy,Black Soil,8.260785048616897,61.19594245938302,29.063494587153073,32.132447872229946,0.8854835899772805,39.75182385457563,20.45465658763988,185.5082036717099,0.6683831592708489,25.25419126744095,63.78
Sandy,Black Soil,8.13641041126378,61.078914269933044,35.7646224130657,25.314291856867342,0.7542853455823514,56.30265895704372,14.9858445829775,182.07658460712594,0.594306794322898,32.555511385430485,65.12
Clayey,Black Soil,7.789751452913768,67.28798165491622,61.74912228611467,5.538859368801553,0.9648488261712865,52.32481518257668,22.66807513020847,274.29211803754356,0.5483663861762014,33.036720768991145,72.2
Clayey,Black Soil,8.039342241915651,66.86570058886036,55.61778759943052,11.247912989429842,0.9480456499617467,32.72013899887455,12.201038490553536,145.58703250838835,0.7422320465492188,29.271077886262564,64.76
Sandy,Black Soil,7.50695213053119,68.18014765922493,34.572841826661495,33.60730583256343,0.7087055015743895,28.88431241882921,12.397307346673657,167.5230342807256,0.6532241907732698,34.429097039125196,71.4
Clayey,Black Soil,8.203018958895179,68.23202932020756,59.600494968004,8.631534352203559,0.9858910413604803,58.497891797684446,15.035645916507283,199.44970117847708,0.6090888807137882,28.008783098167697,65.26
Silty,Black Soil,8.109564333979897,64.84840494377468,49.59019631229295,15.258208631481729,0.5257393756249946,31.14585856946446,28.165317719333075,147.9123781333945,0.6508037069686585,26.44894872091223,68.61
Clayey,Black Soil,7.7420552715115,69.89452760277563,57.99497442400142,11.899553178774205,0.8808098076643588,29.50550175969599,24.56432697223719,173.55662654385065,0.7016406642217636,31.323058305935795,72.38
Silty,Black Soil,7.590289770054408,68.33529710760895,49.58487431908564,18.75042278852331,0.6603900324858679,27.46074041599417,10.815502831095278,218.17858863764837,0.7505907486767714,31.775643618422826,73.96
Loamy,Black Soil,7.726495775197938,60.16587828927856,45.093319939482875,15.072558349795685,0.5871832145024958,47.63750952409864,17.734706926010748,287.3459977473469,0.693551837122835,26.375209441459933,76.27
Sandy,Black Soil,8.424693618278562,63.41066351050259,37.2759282980967,26.134735212405886,0.6289708138575778,46.39936184136716,26.344444004024318,211.04016231989246,0.7632018060142943,30.296505783560065,69.77
